INPUT  SBSTBi 	 location (13, 0, 0) 	 D3 	 
INPUT  SBCLKi 	 location (6, 0, 1) 	 F5 	 
INPUT  SBWRi 	 location (19, 0, 0) 	 B1 	 
OUTPUT IPDONE 	 location (23, 0, 0) 	 F1 	 
OUTPUT I2CPIRQ[0] 	 location (19, 31, 0) 	 A2 	 
INOUT I2C2_SCL 	 location (12, 31, 0) 	 A4 	 
OUTPUT SBACKo 	 location (19, 0, 1) 	 F2 	 
INPUT  RST 	 location (12, 0, 0) 	 C3 	 
OUTPUT I2CPWKUP[1] 	 location (24, 0, 0) 	 D1 	 
OUTPUT I2CPIRQ[1] 	 location (19, 31, 1) 	 A1 	 
INOUT I2C2_SDA 	 location (12, 31, 1) 	 B3 	 
INPUT  IPLOAD 	 location (13, 0, 1) 	 E3 	 
OUTPUT I2CPWKUP[0] 	 location (24, 0, 1) 	 C1 	 
